His to Break,Sassa Daniels,Length: 6 hrs and 40 mins
Funny Story,Emily Henry,Length: 11 hrs and 23 mins
Demon Lord Academy,Shane Hammond,Length: 12 hrs and 50 mins
Hello Beautiful,Ann Napolitano,Length: 15 hrs and 6 mins
Carl's Doomsday Scenario,Matt Dinniman,Length: 11 hrs and 28 mins
The Black Bird Oracle,Deborah Harkness,Length: 17 hrs and 3 mins
Extreme Ownership,"Jocko Willink,Leif Babin",Length: 9 hrs and 33 mins
Twisted Love,Ana Huang,Length: 10 hrs and 41 mins
The Finish Line,Kate Stewart,Length: 14 hrs and 39 mins
Love Wild and Fair,Bertrice Small,Length: 23 hrs and 31 mins
I'm Glad My Mom Died,Jennette McCurdy,Length: 6 hrs and 26 mins
Reading Between the Lies,Lynn Cahoon,Length: 7 hrs and 7 mins
Part of Your World,Abby Jimenez,Length: 10 hrs and 5 mins
Opening to Light Language,Jamye Price,Length: 7 hrs and 25 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,Length: 65 hrs and 31 mins
The Lies of Vampires and Slayers,K. M. Shea,Length: 10 hrs and 33 mins
Fairy Tale,Stephen King,Length: 24 hrs and 6 mins
The Eye of the Bedlam Bride,Matt Dinniman,Length: 26 hrs and 46 mins
A Dance with Dragons,George R.R. Martin,Length: 48 hrs and 55 mins
Elon Musk,Walter Isaacson,Length: 20 hrs and 39 mins
The Four Agreements,don Miguel Ruiz,Length: 2 hrs and 31 mins
A Feast for Crows,George R.R. Martin,Length: 33 hrs and 51 mins
Tempest,Kiki Clark,Length: 7 hrs and 19 mins
On Call,Anthony Fauci M.D.,Length: 19 hrs and 12 mins
Pretty Girls,Karin Slaughter,Length: 20 hrs
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
The Power of Now,Eckhart Tolle,Length: 7 hrs and 37 mins
True Believer,Jack Carr,Length: 15 hrs and 44 mins
This Is Why We Lied,Karin Slaughter,Length: 18 hrs and 6 mins
Lights Out,Navessa Allen,Length: 13 hrs and 38 mins
So This Is War,Meghan Quinn,Length: 13 hrs and 45 mins
Wish upon the Stars 4,Malcolm Tent,Length: 13 hrs and 19 mins
